dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
HEK293T_heat_elF4A1_pl_wt;5_8S_rRNA;FALSCH;HEK293T;heatshock;pl;2;pl;2;low
HEK293T_hip_elF4A1_pl_wt;5_8S_rRNA;FALSCH;HEK293T;hippuristanol;pl;2;pl;2;low
U2OS_ars__EDC3_bp;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_ars_G3BP1_bp_wt;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_ars_PABPC1_bp_wt;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_sorb_G3BP1_bp_wt;A1BG-AS1;WAHR;U-2 OS;sorbitol;bp;5;bp;5;medium
SKNBE_ars_G3BP1_bp_FUS;A1BG-AS1;WAHR;SK-N-BE;arsenite;bp;5;bp;5;medium
U2OS_ars_G3BP1_bp_wt;A2M;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
HEK293T_heat_elF4A1_pl_wt;A2ML1-AS2;WAHR;HEK293T;heatshock;pl;1;pl;1;low
HeLa_ars_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
HEK293T_heat_elF4A1_pl_wt;A3GALT2;WAHR;HEK293T;heatshock;pl;1;pl;1;low
SMMC_ars_G3BP1_bp_wt;A4GALT;WAHR;SMMC-7721;arsenite;bp;1;bp;1;low
HeLa_osm_G3BP1_fanci_wt;AAAS;WAHR;HeLa;osmosis;fanci;1;fanci;1;low
U2OS_ars__EDC3_bp;AACS;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
HEK293T_ars_G3BP1_pl_wt;AAGAB;WAHR;HEK293T;arsenite;pl;4;bp_pl_fanci;5;medium
PC3_ars_G3BP1_pl_wt;AAGAB;WAHR;PC3;arsenite;bp;4;bp_pl_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;AAGAB;WAHR;HeLa;arsenite;fanci;4;bp_pl_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;AAGAB;WAHR;HeLa;heatshock;fanci;4;bp_pl_fanci;5;medium
Tcell_stim_G3BP1_bp_wt;AAK1;WAHR;T cell;stimulation;bp;13;bp_fanci;14;high
U2OS_ars_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;arsenite;bp;13;bp_fanci;14;high
U2OS_ars_PABPC1_bp_wt;AAK1;WAHR;U-2 OS;arsenite;bp;13;bp_fanci;14;high
U2OS_sorb_PABPC1_bp_wt;AAK1;WAHR;U-2 OS;sorbitol;bp;13;bp_fanci;14;high
U2OS_sorb_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;sorbitol;bp;13;bp_fanci;14;high
U2OS_virus_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;virus;bp;13;bp_fanci;14;high
HeLa_ars_G3BP1_bp_wt;AAK1;WAHR;HeLa;arsenite;bp;13;bp_fanci;14;high
HeLa_ars_G3BP1_fanci_wt;AAK1;WAHR;HeLa;arsenite;fanci;13;bp_fanci;14;high
HeLa_heat_G3BP1_fanci_wt;AAK1;WAHR;HeLa;heatshock;fanci;13;bp_fanci;14;high
HeLa_osm_G3BP1_fanci_wt;AAK1;WAHR;HeLa;osmosis;fanci;13;bp_fanci;14;high
HeLa_UV_G3BP1_fanci_wt;AAK1;WAHR;HeLa;UV-light;fanci;13;bp_fanci;14;high
SKNBE_ars_G3BP1_bp_FUS;AAK1;WAHR;SK-N-BE;arsenite;bp;13;bp_fanci;14;high
SKNBE_ars_G3BP1_bp_FUS-P525L;AAK1;WAHR;SK-N-BE;arsenite;bp;13;bp_fanci;14;high
PC3_ars_G3BP1_pl_wt;AAMDC;WAHR;PC3;arsenite;bp;1;bp;1;low
U2OS_ars_G3BP1_pl_wt;AAMP;WAHR;U-2 OS;arsenite;pl;5;bp_pl_fanci;6;medium
Tcell_stim_G3BP1_bp_wt;AAMP;WAHR;T cell;stimulation;bp;5;bp_pl_fanci;6;medium
U2OS_ars__EDC3_bp;AAMP;WAHR;U-2 OS;arsenite;bp;5;bp_pl_fanci;6;medium
HEK293T_heat_elF4A1_pl_wt;AAMP;WAHR;HEK293T;heatshock;pl;5;bp_pl_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;AAMP;WAHR;HeLa;osmosis;fanci;5;bp_pl_fanci;6;medium
HEK293T_ars_G3BP1_pl_wt;AARS1;WAHR;HEK293T;arsenite;pl;6;bp_pl_fanci;7;medium
U2OS_ars__EDC3_bp;AARS1;WAHR;U-2 OS;arsenite;bp;6;bp_pl_fanci;7;medium
U2OS_ars_G3BP1_bp_wt;AARS1;WAHR;U-2 OS;arsenite;bp;6;bp_pl_fanci;7;medium
HeLa_ars_G3BP1_fanci_wt;AARS1;WAHR;HeLa;arsenite;fanci;6;bp_pl_fanci;7;medium
HeLa_osm_G3BP1_fanci_wt;AARS1;WAHR;HeLa;osmosis;fanci;6;bp_pl_fanci;7;medium
SMMC_ars_G3BP1_bp_wt;AARS1;WAHR;SMMC-7721;arsenite;bp;6;bp_pl_fanci;7;medium
Tcell_stim_G3BP1_bp_wt;AARS2;WAHR;T cell;stimulation;bp;6;bp;6;medium
U2OS_ars__EDC3_bp;AARS2;WAHR;U-2 OS;arsenite;bp;6;bp;6;medium
U2OS_ars_G3BP1_bp_wt;AARS2;WAHR;U-2 OS;arsenite;bp;6;bp;6;medium
U2OS_ars_PABPC1_bp_wt;AARS2;WAHR;U-2 OS;arsenite;bp;6;bp;6;medium
SKNBE_ars_G3BP1_bp_FUS;AARS2;WAHR;SK-N-BE;arsenite;bp;6;bp;6;medium
SMMC_ars_G3BP1_bp_wt;AARS2;WAHR;SMMC-7721;arsenite;bp;6;bp;6;medium
Tcell_stim_G3BP1_bp_wt;AASDH;WAHR;T cell;stimulation;bp;2;bp_fanci;3;low
HeLa_heat_G3BP1_fanci_wt;AASDH;WAHR;HeLa;heatshock;fanci;2;bp_fanci;3;low
HEK293T_sorb_G3BP1_pl_wt;AASDHPPT;WAHR;HEK293T;sorbitol;pl;7;bp_pl_fanci;8;medium
U2OS_ars_G3BP1_pl_wt;AASDHPPT;WAHR;U-2 OS;arsenite;pl;7;bp_pl_fanci;8;medium
PC3_ars_G3BP1_pl_wt;AASDHPPT;WAHR;PC3;arsenite;bp;7;bp_pl_fanci;8;medium
HeLa_ars_G3BP1_fanci_wt;AASDHPPT;WAHR;HeLa;arsenite;fanci;7;bp_pl_fanci;8;medium
HeLa_heat_G3BP1_fanci_wt;AASDHPPT;WAHR;HeLa;heatshock;fanci;7;bp_pl_fanci;8;medium
HeLa_osm_G3BP1_fanci_wt;AASDHPPT;WAHR;HeLa;osmosis;fanci;7;bp_pl_fanci;8;medium
HeLa_UV_G3BP1_fanci_wt;AASDHPPT;WAHR;HeLa;UV-light;fanci;7;bp_pl_fanci;8;medium
U2OS_ars__EDC3_bp;AATBC;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;AATF;WAHR;T cell;stimulation;bp;2;bp;2;low
U251_ars_TIAL1_bp_wt;AATF;WAHR;U251;arsenite;bp;2;bp;2;low
SKNBE_ars_G3BP1_bp_FUS;AATK;WAHR;SK-N-BE;arsenite;bp;2;bp;2;low
SKNBE_ars_G3BP1_bp_FUS-P525L;AATK;WAHR;SK-N-BE;arsenite;bp;2;bp;2;low
HeLa_ars_G3BP1_fanci_wt;ABCA1;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;ABCA1;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;ABCA1;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
Tcell_stim_G3BP1_bp_wt;ABCA2;WAHR;T cell;stimulation;bp;5;bp;5;medium
U2OS_ars__EDC3_bp;ABCA2;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_virus_G3BP1_bp_wt;ABCA2;WAHR;U-2 OS;virus;bp;5;bp;5;medium
SKNBE_ars_G3BP1_bp_FUS;ABCA2;WAHR;SK-N-BE;arsenite;bp;5;bp;5;medium
SMMC_ars_G3BP1_bp_wt;ABCA2;WAHR;SMMC-7721;arsenite;bp;5;bp;5;medium
U2OS_ars__EDC3_bp;ABCA3;WAHR;U-2 OS;arsenite;bp;3;bp_pic;4;medium
HeLa_ars_G3BP1_pic_wt;ABCA3;WAHR;HeLa;arsenite;pic;3;bp_pic;4;medium
SKNBE_ars_G3BP1_bp_FUS;ABCA3;WAHR;SK-N-BE;arsenite;bp;3;bp_pic;4;medium
U2OS_ars__EDC3_bp;ABCA4;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABCA5;WAHR;T cell;stimulation;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;ABCA5;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;ABCA5;WAHR;HeLa;heatshock;fanci;4;bp_fanci;5;medium
HeLa_UV_G3BP1_fanci_wt;ABCA5;WAHR;HeLa;UV-light;fanci;4;bp_fanci;5;medium
SMMC_ars_G3BP1_bp_wt;ABCA7;WAHR;SMMC-7721;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABCB1;WAHR;T cell;stimulation;bp;1;bp;1;low
U2OS_ars_G3BP1_pl_wt;ABCB10;WAHR;U-2 OS;arsenite;pl;4;bp_pl_fanci;5;medium
U2OS_ars__EDC3_bp;ABCB10;WAHR;U-2 OS;arsenite;bp;4;bp_pl_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;ABCB10;WAHR;HeLa;arsenite;fanci;4;bp_pl_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;ABCB10;WAHR;HeLa;heatshock;fanci;4;bp_pl_fanci;5;medium
Tcell_stim_G3BP1_bp_wt;ABCB6;WAHR;T cell;stimulation;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABCB7;WAHR;T cell;stimulation;bp;5;bp_pic_fanci;6;medium
HeLa_ars_G3BP1_pic_wt;ABCB7;WAHR;HeLa;arsenite;pic;5;bp_pic_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;ABCB7;WAHR;HeLa;arsenite;fanci;5;bp_pic_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;ABCB7;WAHR;HeLa;heatshock;fanci;5;bp_pic_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;ABCB7;WAHR;HeLa;UV-light;fanci;5;bp_pic_fanci;6;medium
U2OS_ars__EDC3_bp;ABCB8;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABCC1;WAHR;T cell;stimulation;bp;5;bp_pic;6;medium
U2OS_sorb_PABPC1_bp_G3BPko;ABCC1;WAHR;U-2 OS;sorbitol;bp;5;bp_pic;6;medium
U2OS_virus_G3BP1_bp_wt;ABCC1;WAHR;U-2 OS;virus;bp;5;bp_pic;6;medium
HeLa_ars_G3BP1_pic_wt;ABCC1;WAHR;HeLa;arsenite;pic;5;bp_pic;6;medium
SKNBE_ars_G3BP1_bp_FUS;ABCC1;WAHR;SK-N-BE;arsenite;bp;5;bp_pic;6;medium
Tcell_stim_G3BP1_bp_wt;ABCC10;WAHR;T cell;stimulation;bp;2;bp;2;low
U2OS_ars__EDC3_bp;ABCC10;WAHR;U-2 OS;arsenite;bp;2;bp;2;low
U2OS_ars__EDC3_bp;ABCC2;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
HEK293T_sorb_G3BP1_pl_wt;ABCC4;WAHR;HEK293T;sorbitol;pl;5;bp_pl;6;medium
U2OS_ars_G3BP1_pl_wt;ABCC4;WAHR;U-2 OS;arsenite;pl;5;bp_pl;6;medium
Tcell_stim_G3BP1_bp_wt;ABCC4;WAHR;T cell;stimulation;bp;5;bp_pl;6;medium
U2OS_ars__EDC3_bp;ABCC4;WAHR;U-2 OS;arsenite;bp;5;bp_pl;6;medium
PC3_ars_G3BP1_pl_wt;ABCC4;WAHR;PC3;arsenite;bp;5;bp_pl;6;medium
Tcell_stim_G3BP1_bp_wt;ABCC5;WAHR;T cell;stimulation;bp;3;bp;3;low
U2OS_ars__EDC3_bp;ABCC5;WAHR;U-2 OS;arsenite;bp;3;bp;3;low
SKNBE_ars_G3BP1_bp_FUS;ABCC5;WAHR;SK-N-BE;arsenite;bp;3;bp;3;low
HEK293T_hip_elF4A1_pl_wt;ABCC6P1;WAHR;HEK293T;hippuristanol;pl;1;pl;1;low
PC3_ars_G3BP1_pl_wt;ABCC9;WAHR;PC3;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABCD1;WAHR;T cell;stimulation;bp;2;bp;2;low
SMMC_ars_G3BP1_bp_wt;ABCD1;WAHR;SMMC-7721;arsenite;bp;2;bp;2;low
HEK293T_sorb_G3BP1_pl_wt;ABCD3;WAHR;HEK293T;sorbitol;pl;5;bp_pl_fanci;6;medium
U2OS_ars_G3BP1_pl_wt;ABCD3;WAHR;U-2 OS;arsenite;pl;5;bp_pl_fanci;6;medium
Tcell_stim_G3BP1_bp_wt;ABCD3;WAHR;T cell;stimulation;bp;5;bp_pl_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;ABCD3;WAHR;HeLa;arsenite;fanci;5;bp_pl_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;ABCD3;WAHR;HeLa;osmosis;fanci;5;bp_pl_fanci;6;medium
HEK293T_sorb_G3BP1_pl_wt;ABCE1;WAHR;HEK293T;sorbitol;pl;7;bp_pl_fanci;8;medium
U2OS_ars_G3BP1_pl_wt;ABCE1;WAHR;U-2 OS;arsenite;pl;7;bp_pl_fanci;8;medium
Tcell_stim_G3BP1_bp_wt;ABCE1;WAHR;T cell;stimulation;bp;7;bp_pl_fanci;8;medium
HeLa_ars_G3BP1_fanci_wt;ABCE1;WAHR;HeLa;arsenite;fanci;7;bp_pl_fanci;8;medium
HeLa_heat_G3BP1_fanci_wt;ABCE1;WAHR;HeLa;heatshock;fanci;7;bp_pl_fanci;8;medium
HeLa_osm_G3BP1_fanci_wt;ABCE1;WAHR;HeLa;osmosis;fanci;7;bp_pl_fanci;8;medium
HeLa_UV_G3BP1_fanci_wt;ABCE1;WAHR;HeLa;UV-light;fanci;7;bp_pl_fanci;8;medium
Tcell_stim_G3BP1_bp_wt;ABCF1;WAHR;T cell;stimulation;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;ABCF1;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;ABCF1;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
SMMC_ars_G3BP1_bp_wt;ABCF1;WAHR;SMMC-7721;arsenite;bp;4;bp_fanci;5;medium
U2OS_ars__EDC3_bp;ABCF2;WAHR;U-2 OS;arsenite;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;ABCF2;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;ABCF2;WAHR;HeLa;heatshock;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;ABCF2;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
HEK293T_heat_elF4A1_pl_wt;ABCF2P1;WAHR;HEK293T;heatshock;pl;1;pl;1;low
Tcell_stim_G3BP1_bp_wt;ABCF3;WAHR;T cell;stimulation;bp;2;bp;2;low
U2OS_ars__EDC3_bp;ABCF3;WAHR;U-2 OS;arsenite;bp;2;bp;2;low
Tcell_stim_G3BP1_bp_wt;ABCG1;WAHR;T cell;stimulation;bp;3;bp;3;low
U2OS_ars__EDC3_bp;ABCG1;WAHR;U-2 OS;arsenite;bp;3;bp;3;low
U2OS_virus_G3BP1_bp_wt;ABCG1;WAHR;U-2 OS;virus;bp;3;bp;3;low
U2OS_ars_G3BP1_pl_wt;ABHD10;WAHR;U-2 OS;arsenite;pl;5;pl_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;ABHD10;WAHR;HeLa;arsenite;fanci;5;pl_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;ABHD10;WAHR;HeLa;heatshock;fanci;5;pl_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;ABHD10;WAHR;HeLa;osmosis;fanci;5;pl_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;ABHD10;WAHR;HeLa;UV-light;fanci;5;pl_fanci;6;medium
U251_ars_G3BP1_bp_wt;ABHD12;WAHR;U251;arsenite;bp;1;bp;1;low
HeLa_ars_G3BP1_fanci_wt;ABHD13;WAHR;HeLa;arsenite;fanci;4;fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;ABHD13;WAHR;HeLa;heatshock;fanci;4;fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;ABHD13;WAHR;HeLa;osmosis;fanci;4;fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;ABHD13;WAHR;HeLa;UV-light;fanci;4;fanci;4;medium
U2OS_ars_PABPC1_bp_wt;ABHD15;WAHR;U-2 OS;arsenite;bp;6;bp_fanci;7;medium
U2OS_virus_G3BP1_bp_wt;ABHD15;WAHR;U-2 OS;virus;bp;6;bp_fanci;7;medium
HeLa_ars_G3BP1_fanci_wt;ABHD15;WAHR;HeLa;arsenite;fanci;6;bp_fanci;7;medium
HeLa_heat_G3BP1_fanci_wt;ABHD15;WAHR;HeLa;heatshock;fanci;6;bp_fanci;7;medium
HeLa_osm_G3BP1_fanci_wt;ABHD15;WAHR;HeLa;osmosis;fanci;6;bp_fanci;7;medium
SKNBE_ars_G3BP1_bp_FUS;ABHD15;WAHR;SK-N-BE;arsenite;bp;6;bp_fanci;7;medium
Tcell_stim_G3BP1_bp_wt;ABHD17A;WAHR;T cell;stimulation;bp;2;bp_pl;3;low
HEK293T_heat_elF4A1_pl_wt;ABHD17A;WAHR;HEK293T;heatshock;pl;2;bp_pl;3;low
HEK293T_sorb_G3BP1_pl_wt;ABHD17B;WAHR;HEK293T;sorbitol;pl;6;pl_fanci;7;medium
U2OS_ars_G3BP1_pl_wt;ABHD17B;WAHR;U-2 OS;arsenite;pl;6;pl_fanci;7;medium
HeLa_ars_G3BP1_fanci_wt;ABHD17B;WAHR;HeLa;arsenite;fanci;6;pl_fanci;7;medium
HeLa_heat_G3BP1_fanci_wt;ABHD17B;WAHR;HeLa;heatshock;fanci;6;pl_fanci;7;medium
HeLa_osm_G3BP1_fanci_wt;ABHD17B;WAHR;HeLa;osmosis;fanci;6;pl_fanci;7;medium
HeLa_UV_G3BP1_fanci_wt;ABHD17B;WAHR;HeLa;UV-light;fanci;6;pl_fanci;7;medium
U2OS_ars_G3BP1_pl_wt;ABHD17C;WAHR;U-2 OS;arsenite;pl;8;bp_pl_fanci;9;medium
U2OS_ars__EDC3_bp;ABHD17C;WAHR;U-2 OS;arsenite;bp;8;bp_pl_fanci;9;medium
U2OS_ars_G3BP1_bp_wt;ABHD17C;WAHR;U-2 OS;arsenite;bp;8;bp_pl_fanci;9;medium
U2OS_virus_G3BP1_bp_wt;ABHD17C;WAHR;U-2 OS;virus;bp;8;bp_pl_fanci;9;medium
HeLa_ars_G3BP1_fanci_wt;ABHD17C;WAHR;HeLa;arsenite;fanci;8;bp_pl_fanci;9;medium
HeLa_heat_G3BP1_fanci_wt;ABHD17C;WAHR;HeLa;heatshock;fanci;8;bp_pl_fanci;9;medium
HeLa_osm_G3BP1_fanci_wt;ABHD17C;WAHR;HeLa;osmosis;fanci;8;bp_pl_fanci;9;medium
SKNBE_ars_G3BP1_bp_FUS;ABHD17C;WAHR;SK-N-BE;arsenite;bp;8;bp_pl_fanci;9;medium
Tcell_stim_G3BP1_bp_wt;ABHD18;WAHR;T cell;stimulation;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABHD2;WAHR;T cell;stimulation;bp;3;bp_fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;ABHD2;WAHR;HeLa;heatshock;fanci;3;bp_fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;ABHD2;WAHR;HeLa;osmosis;fanci;3;bp_fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;ABHD3;WAHR;HeLa;UV-light;fanci;1;fanci;1;low
HeLa_ars_G3BP1_fanci_wt;ABHD5;WAHR;HeLa;arsenite;fanci;4;fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;ABHD5;WAHR;HeLa;heatshock;fanci;4;fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;ABHD5;WAHR;HeLa;osmosis;fanci;4;fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;ABHD5;WAHR;HeLa;UV-light;fanci;4;fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;ABHD6;WAHR;HeLa;heatshock;fanci;1;fanci;1;low
HeLa_osm_G3BP1_fanci_wt;ABHD8;WAHR;HeLa;osmosis;fanci;1;fanci;1;low
Tcell_stim_G3BP1_bp_wt;ABI1;WAHR;T cell;stimulation;bp;3;bp_fanci;4;medium
PC3_ars_G3BP1_pl_wt;ABI1;WAHR;PC3;arsenite;bp;3;bp_fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;ABI1;WAHR;HeLa;UV-light;fanci;3;bp_fanci;4;medium
HeLa_ars_G3BP1_fanci_wt;ABI2;WAHR;HeLa;arsenite;fanci;4;fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;ABI2;WAHR;HeLa;heatshock;fanci;4;fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;ABI2;WAHR;HeLa;osmosis;fanci;4;fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;ABI2;WAHR;HeLa;UV-light;fanci;4;fanci;4;medium
HeLa_ars_G3BP1_fanci_wt;ABITRAM;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;ABITRAM;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
HeLa_UV_G3BP1_fanci_wt;ABITRAM;WAHR;HeLa;UV-light;fanci;3;fanci;3;low
Tcell_stim_G3BP1_bp_wt;ABL1;WAHR;T cell;stimulation;bp;11;bp_fanci;12;high
U2OS_ars__EDC3_bp;ABL1;WAHR;U-2 OS;arsenite;bp;11;bp_fanci;12;high
U2OS_ars_G3BP1_bp_wt;ABL1;WAHR;U-2 OS;arsenite;bp;11;bp_fanci;12;high
U2OS_ars_PABPC1_bp_wt;ABL1;WAHR;U-2 OS;arsenite;bp;11;bp_fanci;12;high
U2OS_sorb_PABPC1_bp_wt;ABL1;WAHR;U-2 OS;sorbitol;bp;11;bp_fanci;12;high
U2OS_sorb_PABPC1_bp_G3BPko;ABL1;WAHR;U-2 OS;sorbitol;bp;11;bp_fanci;12;high
U2OS_virus_G3BP1_bp_wt;ABL1;WAHR;U-2 OS;virus;bp;11;bp_fanci;12;high
U251_ars_G3BP1_bp_wt;ABL1;WAHR;U251;arsenite;bp;11;bp_fanci;12;high
HeLa_heat_G3BP1_fanci_wt;ABL1;WAHR;HeLa;heatshock;fanci;11;bp_fanci;12;high
SKNBE_ars_G3BP1_bp_FUS;ABL1;WAHR;SK-N-BE;arsenite;bp;11;bp_fanci;12;high
SMMC_ars_G3BP1_bp_wt;ABL1;WAHR;SMMC-7721;arsenite;bp;11;bp_fanci;12;high
Tcell_stim_G3BP1_bp_wt;ABL2;WAHR;T cell;stimulation;bp;11;bp_fanci;12;high
U2OS_ars_G3BP1_bp_wt;ABL2;WAHR;U-2 OS;arsenite;bp;11;bp_fanci;12;high
U2OS_ars_PABPC1_bp_wt;ABL2;WAHR;U-2 OS;arsenite;bp;11;bp_fanci;12;high
U2OS_virus_G3BP1_bp_wt;ABL2;WAHR;U-2 OS;virus;bp;11;bp_fanci;12;high
HeLa_ars_G3BP1_bp_wt;ABL2;WAHR;HeLa;arsenite;bp;11;bp_fanci;12;high
HeLa_ars_G3BP1_fanci_wt;ABL2;WAHR;HeLa;arsenite;fanci;11;bp_fanci;12;high
HeLa_heat_G3BP1_fanci_wt;ABL2;WAHR;HeLa;heatshock;fanci;11;bp_fanci;12;high
HeLa_osm_G3BP1_fanci_wt;ABL2;WAHR;HeLa;osmosis;fanci;11;bp_fanci;12;high
HeLa_UV_G3BP1_fanci_wt;ABL2;WAHR;HeLa;UV-light;fanci;11;bp_fanci;12;high
SKNBE_ars_G3BP1_bp_FUS;ABL2;WAHR;SK-N-BE;arsenite;bp;11;bp_fanci;12;high
SKNBE_ars_G3BP1_bp_FUS-P525L;ABL2;WAHR;SK-N-BE;arsenite;bp;11;bp_fanci;12;high
U2OS_ars__EDC3_bp;ABLIM1;WAHR;U-2 OS;arsenite;bp;8;bp_fanci;9;medium
U2OS_ars_G3BP1_bp_wt;ABLIM1;WAHR;U-2 OS;arsenite;bp;8;bp_fanci;9;medium
U2OS_sorb_PABPC1_bp_wt;ABLIM1;WAHR;U-2 OS;sorbitol;bp;8;bp_fanci;9;medium
U2OS_sorb_PABPC1_bp_G3BPko;ABLIM1;WAHR;U-2 OS;sorbitol;bp;8;bp_fanci;9;medium
U251_ars_G3BP1_bp_wt;ABLIM1;WAHR;U251;arsenite;bp;8;bp_fanci;9;medium
HeLa_ars_G3BP1_fanci_wt;ABLIM1;WAHR;HeLa;arsenite;fanci;8;bp_fanci;9;medium
HeLa_heat_G3BP1_fanci_wt;ABLIM1;WAHR;HeLa;heatshock;fanci;8;bp_fanci;9;medium
HeLa_osm_G3BP1_fanci_wt;ABLIM1;WAHR;HeLa;osmosis;fanci;8;bp_fanci;9;medium
U251_ars_G3BP1_bp_wt;ABLIM3;WAHR;U251;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;ABR;WAHR;T cell;stimulation;bp;2;bp;2;low
SMMC_ars_G3BP1_bp_wt;ABR;WAHR;SMMC-7721;arsenite;bp;2;bp;2;low
PC3_ars_G3BP1_pl_wt;ABRACL;WAHR;PC3;arsenite;bp;1;bp;1;low
HeLa_ars_G3BP1_fanci_wt;ABRAXAS1;WAHR;HeLa;arsenite;fanci;2;fanci;2;low
HeLa_heat_G3BP1_fanci_wt;ABRAXAS1;WAHR;HeLa;heatshock;fanci;2;fanci;2;low
HeLa_ars_G3BP1_fanci_wt;ABRAXAS2;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;ABRAXAS2;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;ABRAXAS2;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
HeLa_ars_G3BP1_fanci_wt;ABT1;WAHR;HeLa;arsenite;fanci;2;fanci;2;low
HeLa_osm_G3BP1_fanci_wt;ABT1;WAHR;HeLa;osmosis;fanci;2;fanci;2;low
U2OS_ars__EDC3_bp;ABTB2;WAHR;U-2 OS;arsenite;bp;3;bp;3;low
SKNBE_ars_G3BP1_bp_FUS;ABTB2;WAHR;SK-N-BE;arsenite;bp;3;bp;3;low
SMMC_ars_G3BP1_bp_wt;ABTB2;WAHR;SMMC-7721;arsenite;bp;3;bp;3;low
Tcell_stim_G3BP1_bp_wt;ABTB3;WAHR;T cell;stimulation;bp;1;bp;1;low
SKNBE_ars_G3BP1_bp_FUS;AC000095.1;FALSCH;SK-N-BE;arsenite;bp;1;bp;1;low
