dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
HeLa_ars_G3BP1_pic_wt;COMMD2;WAHR;HeLa;arsenite;pic;7;pl_pic_fanci;8;medium
HeLa_ars_G3BP1_fanci_wt;COMMD2;WAHR;HeLa;arsenite;fanci;7;pl_pic_fanci;8;medium
HeLa_heat_G3BP1_fanci_wt;COMMD2;WAHR;HeLa;heatshock;fanci;7;pl_pic_fanci;8;medium
HeLa_osm_G3BP1_fanci_wt;COMMD2;WAHR;HeLa;osmosis;fanci;7;pl_pic_fanci;8;medium
HeLa_UV_G3BP1_fanci_wt;COMMD2;WAHR;HeLa;UV-light;fanci;7;pl_pic_fanci;8;medium
PC3_ars_G3BP1_pl_wt;COMMD4;WAHR;PC3;arsenite;bp;1;bp;1;low
PC3_ars_G3BP1_pl_wt;COMMD6;WAHR;PC3;arsenite;bp;3;bp_pic;4;medium
HeLa_ars_G3BP1_pic_wt;COMMD6;WAHR;HeLa;arsenite;pic;3;bp_pic;4;medium
U251_ars_G3BP1_bp_wt;COMMD6;WAHR;U251;arsenite;bp;3;bp_pic;4;medium
U251_ars_G3BP1_bp_wt;COMMD8;WAHR;U251;arsenite;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COMMD8;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;COMMD8;WAHR;HeLa;heatshock;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;COMMD8;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
HeLa_ars_G3BP1_pic_wt;COMTD1;WAHR;HeLa;arsenite;pic;1;pic;1;low
Tcell_stim_G3BP1_bp_wt;COP1;WAHR;T cell;stimulation;bp;2;bp_fanci;3;low
HeLa_UV_G3BP1_fanci_wt;COP1;WAHR;HeLa;UV-light;fanci;2;bp_fanci;3;low
HEK293T_sorb_G3BP1_pl_wt;COPA;WAHR;HEK293T;sorbitol;pl;5;bp_pl_fanci;6;medium
Tcell_stim_G3BP1_bp_wt;COPA;WAHR;T cell;stimulation;bp;5;bp_pl_fanci;6;medium
U2OS_ars__EDC3_bp;COPA;WAHR;U-2 OS;arsenite;bp;5;bp_pl_fanci;6;medium
